,Title,User Rating,Letterboxd Rating,Letterboxd Rating Count,Genres,Country of Origin
188,Hereditary,4.5,4.02,1004047,"['Thriller', 'Horror', 'Mystery']",USA
189,Hangman,3.5,2.13,5918,"['Crime', 'Mystery', 'Thriller']",USA
190,Rampage,3.0,2.47,100223,"['Action', 'Adventure', 'Science Fiction']",USA
191,Insidious: The Last Key,3.5,2.54,56777,"['Horror', 'Mystery', 'Thriller']",USA
192,Shimmer Lake,3.5,2.91,9457,"['Crime', 'Mystery', 'Drama', 'Thriller']",Canada
193,Kingsman: The Golden Circle,4.5,3.14,323661,"['Adventure', 'Comedy', 'Action']",UK
194,Star Wars: The Last Jedi,3.5,3.05,788363,"['Science Fiction', 'Adventure', 'Action']",USA
195,Kidnap,3.0,2.55,14450,"['Thriller', 'Drama']",UK
196,The Ritual,3.5,3.22,150957,"['Mystery', 'Thriller', 'Horror']",Canada
197,The Recall,3.0,1.77,1310,"['Science Fiction', 'Horror']",Canada
198,The Mummy,3.0,2.0,101020,"['Adventure', 'Horror', 'Thriller', 'Action', 'Fantasy']",China
199,Time Trap,3.5,2.62,15901,"['Science Fiction', 'Adventure']",USA
200,The Foreigner,3.0,3.16,44576,"['Action', 'Thriller']",China
201,Jack Reacher: Never Go Back,3.5,2.63,53165,"['Action', 'Thriller']",China
202,Split,3.0,3.52,684756,"['Horror', 'Thriller']",USA
203,USS Indianapolis: Men of Courage,4.0,2.13,4041,"['War', 'Action']",USA
204,Doctor Strange,4.0,3.51,917267,"['Fantasy', 'Action', 'Adventure']",USA
205,Marauders,3.0,2.38,4343,"['Action', 'Crime', 'Thriller']",Canada
206,Skiptrace,3.0,2.42,6660,"['Mystery', 'Thriller', 'Comedy', 'Action']",China
207,Independence Day: Resurgence,3.5,2.09,75043,"['Adventure', 'Action', 'Science Fiction']",USA
208,The Shallows,3.0,2.98,108557,"['Thriller', 'Drama', 'Horror']",Australia
209,Krampus,3.0,3.01,100843,"['Fantasy', 'Horror', 'Comedy']",USA
210,The Conjuring 2,4.5,3.42,283741,"['Horror', 'Thriller']",USA
211,In the Heart of the Sea,3.5,3.05,62487,"['Thriller', 'Adventure', 'History', 'Drama', 'Action']",Spain
212,London Has Fallen,3.0,2.56,59213,"['Action', 'Thriller']",Bulgaria
213,Pay the Ghost,3.0,2.06,5990,['Horror'],USA
214,Circle,3.0,2.62,89201,"['Mystery', 'Science Fiction', 'Thriller', 'Horror', 'Drama']",USA
215,Insurgent,3.0,2.53,128844,"['Action', 'Thriller', 'Science Fiction', 'Adventure']",USA
216,Self/less,3.0,2.75,23662,"['Mystery', 'Science Fiction', 'Thriller', 'Action']",USA
217,The Expendables 3,3.5,2.48,55229,"['Thriller', 'Adventure', 'Action']",Bulgaria
218,Jurassic World,4.0,3.03,518594,"['Science Fiction', 'Adventure', 'Action', 'Thriller']",USA
219,Sharknado 2: The Second One,3.0,1.86,17242,"['Thriller', 'Science Fiction']",USA
220,Dumb and Dumber To,3.0,2.29,65769,['Comedy'],USA
221,Flight 7500,3.0,2.03,3579,"['Thriller', 'Mystery', 'Horror']",Japan
